Mesec,hiking camping,motorcycle camping,bikepacking,backpacking camping,travel camping
2004,27,6,0,17,35
2004-02,35,6,0,16,58
2004-03,48,8,0,15,56
2004-04,62,10,0,32,80
2004-05,79,19,3,9,62
2004-06,67,22,3,33,93
2004-07,70,9,0,48,100
2004-08,46,13,0,26,69
2004-09,38,8,0,17,38
2004-10,22,5,0,17,31
2004-11,25,5,0,6,17
2004-12,22,0,0,16,23
2005,28,15,3,9,37
2005-02,24,7,0,16,32
2005-03,32,4,4,16,46
2005-04,45,6,3,19,62
2005-05,65,8,0,32,57
2005-06,63,11,0,27,81
2005-07,55,10,0,26,70
2005-08,58,7,0,23,57
2005-09,38,4,0,7,27
2005-10,29,6,0,12,26
2005-11,26,3,0,6,19
2005-12,20,4,0,5,20
2006,23,6,0,14,38
2006-02,22,6,0,8,33
2006-03,29,6,0,10,41
2006-04,39,10,2,24,30
2006-05,44,14,1,16,55
2006-06,49,12,0,22,68
2006-07,44,17,0,20,69
2006-08,41,9,0,24,58
2006-09,26,7,0,13,33
2006-10,21,3,0,7,19
2006-11,18,3,0,7,16
2006-12,14,3,0,7,17
2007,14,7,0,8,40
2007-02,22,6,0,10,39
2007-03,24,6,1,10,36
2007-04,36,9,1,13,45
2007-05,40,12,0,20,47
2007-06,35,9,1,19,56
2007-07,43,10,0,20,73
2007-08,36,7,0,15,49
2007-09,30,8,0,12,32
2007-10,23,3,0,9,26
2007-11,18,3,0,5,22
2007-12,18,4,1,9,16
2008,23,6,0,11,28
2008-02,18,7,0,8,28
2008-03,26,6,0,9,29
2008-04,31,7,0,14,34
2008-05,36,11,1,15,40
2008-06,37,13,0,15,54
2008-07,40,10,1,16,55
2008-08,37,9,0,19,43
2008-09,22,7,1,8,23
2008-10,22,4,0,11,22
2008-11,12,5,0,7,11
2008-12,16,3,1,6,13
2009,19,5,< 1,8,24
2009-02,22,5,0,8,22
2009-03,25,7,< 1,11,32
2009-04,24,8,0,11,38
2009-05,40,7,< 1,14,42
2009-06,35,9,1,13,61
2009-07,43,8,< 1,13,56
2009-08,38,11,1,15,49
2009-09,25,4,1,8,23
2009-10,20,4,< 1,8,17
2009-11,16,3,1,6,18
2009-12,13,4,1,5,15
2010,17,4,1,7,21
2010-02,14,5,1,10,26
2010-03,24,5,1,10,28
2010-04,28,7,< 1,13,33
2010-05,33,8,< 1,11,35
2010-06,32,7,1,16,44
2010-07,34,8,2,11,47
2010-08,30,6,1,13,45
2010-09,25,5,1,9,21
2010-10,13,4,1,5,18
2010-11,12,3,1,7,16
2010-12,10,2,< 1,6,12
2011,14,3,1,8,18
2011-02,16,5,1,7,21
2011-03,20,4,1,9,22
2011-04,24,6,< 1,10,29
2011-05,25,8,1,12,31
2011-06,30,9,2,15,38
2011-07,29,6,2,13,45
2011-08,22,6,1,10,32
2011-09,20,5,1,8,19
2011-10,17,3,1,6,15
2011-11,11,3,1,3,12
2011-12,11,3,2,5,12
2012,13,2,1,6,17
2012-02,13,4,2,6,18
2012-03,20,5,1,7,23
2012-04,22,6,2,9,24
2012-05,26,6,2,10,29
2012-06,25,6,2,12,31
2012-07,24,7,2,11,33
2012-08,26,6,2,10,24
2012-09,21,5,2,7,15
2012-10,14,4,1,6,14
2012-11,8,2,2,5,11
2012-12,9,3,2,5,11
2013,12,4,1,5,16
2013-02,13,4,2,5,16
2013-03,16,5,3,6,21
2013-04,19,4,2,6,20
2013-05,23,5,2,9,25
2013-06,25,6,3,12,31
2013-07,27,9,3,13,31
2013-08,28,6,3,12,26
2013-09,16,4,2,8,17
2013-10,13,3,2,6,13
2013-11,10,2,2,4,13
2013,12,4,3,6,9
2014,14,4,3,7,16
2014-02,15,5,3,7,19
2014-03,18,6,3,8,23
2014-04,24,6,4,9,21
2014-05,26,5,4,11,28
2014-06,26,8,4,11,31
2014-07,28,8,3,12,33
2014-08,28,6,4,12,28
2014-09,18,4,4,6,16
2014-10,15,3,4,7,14
2014-11,13,3,4,4,13
2014-12,14,3,5,6,12
2015,17,3,4,7,19
2015-02,18,4,5,8,19
2015-03,23,5,4,10,23
2015-04,23,5,6,11,25
2015-05,29,5,7,12,26
2015-06,33,8,6,14,31
2015-07,33,7,6,15,34
2015-08,31,6,7,13,29
2015-09,26,5,6,9,20
2015-10,19,3,6,7,16
2015-11,16,2,7,6,12
2015-12,16,2,7,7,13
2016,19,4,7,8,17
2016-02,19,4,8,8,20
2016-03,26,5,9,11,23
2016-04,27,5,9,9,23
2016-05,34,6,10,13,27
2016-06,33,7,9,14,28
2016-07,32,6,11,14,31
2016-08,28,4,12,12,26
2016-09,25,4,11,10,18
2016-10,22,3,9,8,14
2016-11,18,3,9,7,14
2016-12,16,3,9,6,12
2017,18,4,12,7,18
2017-02,21,4,13,9,19
2017-03,29,5,14,8,23
2017-04,30,6,17,11,26
2017-05,32,6,17,14,27
2017-06,33,6,17,15,33
2017-07,36,6,17,13,32
2017-08,32,6,15,11,27
2017-09,27,4,13,9,19
2017-10,21,3,13,7,18
2017-11,19,3,13,6,14
2017-12,18,4,15,6,12
2018,20,4,15,8,20
2018-02,25,4,16,9,22
2018-03,24,4,18,8,22
2018-04,27,4,19,9,24
2018-05,34,7,21,13,26
2018-06,35,6,23,13,29
2018-07,35,5,21,14,30
2018-08,33,5,22,13,28
2018-09,24,4,19,8,17
2018-10,21,3,18,7,15
2018-11,19,2,18,6,16
2018-12,17,3,16,7,13
2019,16,4,18,6,17
2019-02,17,4,20,6,18
2019-03,22,5,25,9,20
2019-04,23,5,24,9,20
2019-05,24,5,27,11,23
2019-06,32,6,27,11,29
2019-07,29,6,27,12,30
